Repository,Contributors
https://github.com/python/cpython.git,1843
https://github.com/huggingface/transformers.git,2303
https://github.com/pytorch/pytorch.git,3101
https://github.com/langchain-ai/langchain.git,3026
https://github.com/public-apis/public-apis.git,647
https://github.com/donnemartin/system-design-primer.git,15
https://github.com/vinta/awesome-python.git,25
https://github.com/TheAlgorithms/Python.git,557
https://github.com/Significant-Gravitas/AutoGPT.git,784
https://github.com/AUTOMATIC1111/stable-diffusion-webui.git,658
https://github.com/huggingface/transformers.git,2303
https://github.com/ytdl-org/youtube-dl.git,110
https://github.com/521xueweihan/HelloGitHub.git,6
https://github.com/yt-dlp/yt-dlp.git,677
https://github.com/nvbn/thefuck.git,20
https://github.com/pytorch/pytorch.git,3101
https://github.com/django/django.git,880
https://github.com/fastapi/fastapi.git,596
https://github.com/tensorflow/models.git,225
https://github.com/home-assistant/core.git,2401
https://github.com/openai/whisper.git,73
https://github.com/3b1b/manim.git,83
https://github.com/fighting41love/funNLP.git,5
https://github.com/pallets/flask.git,144
https://github.com/bregman-arie/devops-exercises.git,152
https://github.com/josephmisiti/awesome-machine-learning.git,160
https://github.com/binary-husky/gpt_academic.git,112
https://github.com/abi/screenshot-to-code.git,24
https://github.com/d2l-ai/d2l-zh.git,127
https://github.com/python/cpython.git,1843
https://github.com/ansible/ansible.git,666
https://github.com/xtekky/gpt4free.git,249
https://github.com/keras-team/keras.git,480
https://github.com/swisskyrepo/PayloadsAllTheThings.git,189
https://github.com/sherlock-project/sherlock.git,132
https://github.com/scikit-learn/scikit-learn.git,1207
https://github.com/comfyanonymous/ComfyUI.git,191
https://github.com/OpenInterpreter/open-interpreter.git,139
https://github.com/labmlai/annotated_deep_learning_paper_implementations.git,41
https://github.com/meta-llama/llama.git,53
https://github.com/localstack/localstack.git,270
https://github.com/zylon-ai/private-gpt.git,95
https://github.com/soimort/you-get.git,46
https://github.com/ageitgey/face_recognition.git,9
https://github.com/scrapy/scrapy.git,220
https://github.com/CorentinJ/Real-Time-Voice-Cloning.git,7
https://github.com/deepfakes/faceswap.git,23
https://github.com/gpt-engineer-org/gpt-engineer.git,117
https://github.com/psf/requests.git,90
https://github.com/ultralytics/yolov5.git,296
https://github.com/Z4nzu/hackingtool.git,29
https://github.com/commaai/openpilot.git,570
https://github.com/Textualize/rich.git,230
https://github.com/xai-org/grok-1.git,7
https://github.com/charlax/professional-programming.git,17
https://github.com/geekan/MetaGPT.git,159
https://github.com/PaddlePaddle/PaddleOCR.git,244
https://github.com/pandas-dev/pandas.git,1371
https://github.com/Asabeneh/30-Days-Of-Python.git,10
https://github.com/lllyasviel/Fooocus.git,64
https://github.com/hacksider/Deep-Live-Cam.git,30
https://github.com/oobabooga/text-generation-webui.git,353
https://github.com/THUDM/ChatGLM-6B.git,55
https://github.com/faif/python-patterns.git,21
https://github.com/mingrammer/diagrams.git,81
https://github.com/apachecn/ailearning.git,6
https://github.com/Stability-AI/stablediffusion.git,18
https://github.com/odoo/odoo.git,1186
https://github.com/getsentry/sentry.git,404
https://github.com/psf/black.git,282
https://github.com/langflow-ai/langflow.git,237
https://github.com/hpcaitech/ColossalAI.git,227
https://github.com/chubin/cheat.sh.git,12
https://github.com/All-Hands-AI/OpenHands.git,213
https://github.com/karpathy/nanoGPT.git,37
https://github.com/apache/airflow.git,1985
https://github.com/run-llama/llama_index.git,1359
https://github.com/lm-sys/FastChat.git,244
https://github.com/mitmproxy/mitmproxy.git,190
https://github.com/LAION-AI/Open-Assistant.git,331
https://github.com/RVC-Boss/GPT-SoVITS.git,85
https://github.com/QuivrHQ/quivr.git,122
https://github.com/streamlit/streamlit.git,190
https://github.com/hiyouga/LLaMA-Factory.git,147
https://github.com/coqui-ai/TTS.git,133
https://github.com/TencentARC/GFPGAN.git,12
https://github.com/satwikkansal/wtfpython.git,18
